charge,Ag_acid_label,Ag_acid_state,Ag_acid_bal,Ag_acid,Ag_basic_label,Ag_basic_state,Ag_basic_bal,Ag_basic,Al_acid_label,Al_acid_state,Al_acid_bal,Al_acid,Al_basic_label,Al_basic_state,Al_basic_bal,Al_basic,As_acid_label,As_acid_state,As_acid_bal,As_acid,As_basic_label,As_basic_state,As_basic_bal,As_basic,Bi_acid_label,Bi_acid_state,Bi_acid_bal,Bi_acid,Bi_basic_label,Bi_basic_state,Bi_basic_bal,Bi_basic,Br_acid_label,Br_acid_state,Br_acid_bal,Br_acid,Br_basic_label,Br_basic_state,Br_basic_bal,Br_basic,C_acid_label,C_acid_state,C_acid_bal,C_acid,C_basic_label,C_basic_state,C_basic_bal,C_basic,Cl_acid_label,Cl_acid_state,Cl_acid_bal,Cl_acid,Cl_basic_label,Cl_basic_state,Cl_basic_bal,Cl_basic,Co_acid_label,Co_acid_state,Co_acid_bal,Co_acid,Co_basic_label,Co_basic_state,Co_basic_bal,Co_basic,Cr_acid_label,Cr_acid_state,Cr_acid_bal,Cr_acid,Cr_basic_label,Cr_basic_state,Cr_basic_bal,Cr_basic,Cu_acid_label,Cu_acid_state,Cu_acid_bal,Cu_acid,Cu_basic_label,Cu_basic_state,Cu_basic_bal,Cu_basic,Fe_acid_label,Fe_acid_state,Fe_acid_bal,Fe_acid,Fe_basic_label,Fe_basic_state,Fe_basic_bal,Fe_basic,Ge_acid_label,Ge_acid_state,Ge_acid_bal,Ge_acid,Ge_basic_label,Ge_basic_state,Ge_basic_bal,Ge_basic,I_acid_label,I_acid_state,I_acid_bal,I_acid,I_basic_label,I_basic_state,I_basic_bal,I_basic,In_acid_label,In_acid_state,In_acid_bal,In_acid,In_basic_label,In_basic_state,In_basic_bal,In_basic,Mn_acid_label,Mn_acid_state,Mn_acid_bal,Mn_acid,Mn_basic_label,Mn_basic_state,Mn_basic_bal,Mn_basic,Mo_acid_label,Mo_acid_state,Mo_acid_bal,Mo_acid,Mo_basic_label,Mo_basic_state,Mo_basic_bal,Mo_basic,N_acid_label,N_acid_state,N_acid_bal,N_acid,N_basic_label,N_basic_state,N_basic_bal,N_basic,Ni_acid_label,Ni_acid_state,Ni_acid_bal,Ni_acid,Ni_basic_label,Ni_basic_state,Ni_basic_bal,Ni_basic,O_acid_label,O_acid_state,O_acid_bal,O_acid,O_basic_label,O_basic_state,O_basic_bal,O_basic,P_acid_label,P_acid_state,P_acid_bal,P_acid,P_basic_label,P_basic_state,P_basic_bal,P_basic,Pd_acid_label,Pd_acid_state,Pd_acid_bal,Pd_acid,Pd_basic_label,Pd_basic_state,Pd_basic_bal,Pd_basic,Re_acid_label,Re_acid_state,Re_acid_bal,Re_acid,Re_basic_label,Re_basic_state,Re_basic_bal,Re_basic,S_acid_label,S_acid_state,S_acid_bal,S_acid,S_basic_label,S_basic_state,S_basic_bal,S_basic,Sb_acid_label,Sb_acid_state,Sb_acid_bal,Sb_acid,Sb_basic_label,Sb_basic_state,Sb_basic_bal,Sb_basic,Se_acid_label,Se_acid_state,Se_acid_bal,Se_acid,Se_basic_label,Se_basic_state,Se_basic_bal,Se_basic,Si_acid_label,Si_acid_state,Si_acid_bal,Si_acid,Si_basic_label,Si_basic_state,Si_basic_bal,Si_basic,Te_acid_label,Te_acid_state,Te_acid_bal,Te_acid,Te_basic_label,Te_basic_state,Te_basic_bal,Te_basic,Ti_acid_label,Ti_acid_state,Ti_acid_bal,Ti_acid,Ti_basic_label,Ti_basic_state,Ti_basic_bal,Ti_basic,Tl_acid_label,Tl_acid_state,Tl_acid_bal,Tl_acid,Tl_basic_label,Tl_basic_state,Tl_basic_bal,Tl_basic,V_acid_label,V_acid_state,V_acid_bal,V_acid,V_basic_label,V_basic_state,V_basic_bal,V_basic,W_acid_label,W_acid_state,W_acid_bal,W_acid,W_basic_label,W_basic_state,W_basic_bal,W_basic,Xe_acid_label,Xe_acid_state,Xe_acid_bal,Xe_acid,Xe_basic_label,Xe_basic_state,Xe_basic_bal,Xe_basic
-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH_4,(g),"[4,1,0,1,0]",-1.65,CH_4,(g),"[4,1,0,1,0]",1.672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GeH_4,(g),"[4,1,0,1,0]",1.68,GeH_4,(g),"[4,1,0,1,0]",4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SiH_4,(g),"[4,1,0,1,0]",0.572,SiH_4,(g),"[4,1,0,1,0]",3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,,,,,,,,,,,,,,,,,AsH_3,(g),"[3,1,0,1,0]",0.675,AsH_3,(g),"[3,1,0,1,0]",4.11,BiH_3,(g),"[3,1,0,1,0]",2.91,BiH_3,(g),"[3,1,0,1,0]",4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NH_4^+,(aq),"[4,1,0,2,1]",-0.815,NH_3,(g),"[3,1,0,2,0]",2.21,,,,,,,,,,,,,,,,,PH_3,(g),"[3,1,0,1,0]",0.189,PH_3,(g),"[3,1,0,1,0]",2.67,,,,,,,,,,,,,,,,,,,,,,,,,SbH_3,(g),"[3,1,0,1,0]",1.53,SbH_3,(g),"[3,1,0,1,0]",4.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH_3OH,(aq),"[4,1,1,1,0]",-0.474,CH_3OH,(aq),"[4,1,1,1,0]",1.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_2H_5^+,(aq),"[5,2,0,2,1]",0.46,N_2H_4,(g),"[4,2,0,2,0]",2.31,,,,,,,,,H_2O,(l),"[2,1,0,2,0]",-2.458,OH^-,(aq),"[1,1,0,2,-1]",-0.798,P_2H_4,(g),"[4,2,0,1,0]",0.2,,,,,,,,,,,,,,,,,,,,,H_2S,(g),"[2,1,0,1,0]",-0.288,S^{2-},(aq),"[0,1,0,1,-1]",0.952,,,,,,,,,H_2Se,(g),"[2,1,0,1,0]",0.22,Se^{2-},(aq),"[0,1,0,1,-2]",1.34,,,,,,,,,H_2Te,(g),"[2,1,0,1,0]",1.586,Te^{2-},(aq),"[0,1,0,1,-2]",2.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Br^{-},(aq),"[0,1,0,2,-1]",-1.065,Br^{-},(aq),"[0,1,0,2,-1]",-1.065,,,,,,,,,Cl^-,(aq),"[0,1,0,2,-1]",-1.358,Cl^-,(aq),"[0,1,0,2,-1]",-1.358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I^{-},(aq),"[0,1,0,2,-1]",-0.535,I^{-},(aq),"[0,1,0,2,-1]",-0.535,,,,,,,,,,,,,,,,,,,,,,,,,NH_3OH^+,(aq),"[4,1,1,2,1]",1.87,NH_2OH,(aq),"[3,1,1,2,0]",3.04,,,,,,,,,H_2O_2,(aq),"[2,2,0,2,0]",-0.695,HO_2^-,(aq),"[1,2,0,2,-1]",0.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Ag,(s),"[0,0,0,0,0]",0,Ag,(s),"[0,0,0,0,0]",0,Al,(s),"[0,0,0,0,0]",0,Al,(s),"[0,0,0,0,0]",0,As,(s),"[0,0,0,0,0]",0,As,(s),"[0,0,0,0,0]",0,Bi,(s),"[0,0,0,0,0]",0,Bi,(s),"[0,0,0,0,0]",0,Br_2,(l),"[0,0,0,0,0]",0,Br_2,(l),"[0,0,0,0,0]",0,HCHO,(aq),"[2,1,1,0,0]",0,HCHO,(aq),"[2,1,1,1,0]",0,Cl_2,(g),"[0,0,0,0,0]",0,Cl_2,(g),"[0,0,0,0,0]",0,Co,(s),"[0,0,0,0,0]",0,Co,(s),"[0,0,0,0,0]",0,Cr,(s),"[0,0,0,0,0]",0,Cr,(s),"[0,0,0,0,0]",0,Cu,(s),"[0,0,0,0,0]",0,Cu,(s),"[0,0,0,0,0]",0,Fe,(s),"[0,0,0,0,0]",0,Fe,(s),"[0,0,0,0,0]",0,Ge,(s),"[0,0,0,0,0]",0,Ge,(s),"[0,0,0,0,0]",0,I_2,(s),"[0,0,0,0,0]",0,I_2,(s),"[0,0,0,0,0]",0,In,(s),"[0,0,0,0,0]",0,In,(s),"[0,0,0,0,0]",0,Mn,(s),"[0,0,0,0,0]",0,Mn,(s),"[0,0,0,0,0]",0,Mo,(s),"[0,0,0,0,0]",0,Mo,(s),"[0,0,0,0,0]",0,N_2,(g),"[0,0,0,0,0]",0,N_2,(g),"[0,0,0,0,0]",0,Ni,(s),"[0,0,0,0,0]",0,Ni,(s),"[0,0,0,0,0]",0,O_2,(g),"[0,0,0,0,0]",0,O_2,(g),"[0,0,0,0,0]",0,P,(s),"[0,0,0,0,0]",0,P,(s),"[0,0,0,0,0]",0,Pd,(s),"[0,0,0,0,0]",0,Pd,(s),"[0,0,0,0,0]",0,Re,(s),"[0,0,0,0,0]",0,Re,(s),"[0,0,0,0,0]",0,S,(s),"[0,0,0,0,0]",0,S,(s),"[0,0,0,0,0]",0,Sb,(s),"[0,0,0,0,0]",0,Sb,(s),"[0,0,0,0,0]",0,Se,(s),"[0,0,0,0,0]",0,Se,(s),"[0,0,0,0,0]",0,Si,(s),"[0,0,0,0,0]",0,Si,(s),"[0,0,0,0,0]",0,Te,(s),"[0,0,0,0,0]",0,Te,(s),"[0,0,0,0,0]",0,Ti,(s),"[0,0,0,0,0]",0,Ti,(s),"[0,0,0,0,0]",0,Tl,(s),"[0,0,0,0,0]",0,Tl,(s),"[0,0,0,0,0]",0,V,(s),"[0,0,0,0,0]",0,V,(s),"[0,0,0,0,0]",0,W,(s),"[0,0,0,0,0]",0,W,(s),"[0,0,0,0,0]",0,Xe,(g),"[0,0,0,0,0]",0,Xe,(g),"[0,0,0,0,0]",0
1,Ag^+,(aq),"[0,1,0,1,1]",0.8,Ag_2O,(s),"[0,2,1,1,0]",0.343,,,,,,,,,,,,,,,,,,,,,,,,,HBrO,(aq),"[1,1,1,2,0]",1.604,BrO^{-},(aq),"[0,1,1,2,-1]",0.455,,,,,,,,,HClO,(aq),"[1,1,1,2,0]",1.63,ClO^-,(aq),"[0,1,1,2,-1]",0.421,,,,,,,,,,,,,,,,,Cu^+,(aq),"[0,1,0,1,1]",0.521,Cu_2O,(s),"[0,2,1,1,0]",-0.36,,,,,,,,,,,,,,,,,HIO,(aq),"[1,1,1,2,0]",1.44,IO^{-},(aq),"[0,1,1,2,-1]",0.42,In^{+},(aq),"[0,1,0,1,1]",-0.126,,,,,,,,,,,,,,,,,,,,,N_2O,(g),"[0,2,1,2,0]",1.77,N_2O,(g),"[0,2,1,2,0]",0.94,,,,,,,,,,,,,,,,,H_3PO_2,(aq),"[3,1,2,1,0]",-0.508,H_2PO_2^-,(aq),"[2,1,2,1,-1]",-2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tl^{+},(aq),"[0,1,0,1,1]",-0.34,Tl(OH),(s),"[1,1,1,1,0]",-0.34,,,,,,,,,,,,,,,,,,,,,,,,
2,AgO,(s),"[0,1,1,1,0]",2.57,AgO,(s),"[0,1,1,1,0]",0.945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HCOOH,(aq),"[2,1,2,1,0]",-0.068,HCOO^{-},(aq),"[1,1,2,1,-1]",-2.32,,,,,,,,,Co^{2+},(aq),"[0,1,0,1,2]",-0.564,Co(OH)_2,(s),"[2,1,2,1,0]",-1.46,Cr^{2+},(aq),"[0,1,0,1,2]",-1.8,Cr(OH)_2,(s),"[2,1,2,1,0]",-2.80,Cu^{2+},(aq),"[0,1,0,1,2]",0.68,Cu(OH)_2,(s),"[2,1,2,1,0]",-0.44,Fe^{2+},(aq),"[0,1,0,1,2]",-0.88,Fe(OH)_2,(s),"[2,1,2,1,0]",-1.774,GeO,(s),"[0,1,1,1,0]",0.45,,,,,,,,,,,,,In^{2+},(aq),"[0,1,0,1,2]",-0.526,,,,,Mn^{2+},(aq),"[0,1,0,1,2]",-2.36,Mn(OH)_2,(s),"[2,1,2,1,0]",-3.12,,,,,,,,,NO,(g),"[0,1,1,2,0]",3.36,NO,(g),"[0,1,1,2,0]",1.73,Ni^{2+},(aq),"[0,1,0,1,2]",-0.514,Ni(OH)_2,(s),"[2,1,2,1,0]",-1.44,,,,,,,,,,,,,,,,,Pd^{2+},(aq),"[0,1,0,1,2]",1.902,PdO,(s),"[0,1,1,1,0]",1.794,,,,,,,,,S_2O_3^{2-},(aq),"[0,2,3,1,-2]",1.2,S_2O_3^{2-},(aq),"[0,2,3,1,-2]",-1.484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ti^{2+},(aq),"[0,1,0,1,2]",-3.26,TiO,(s),"[0,1,1,1,0]",-4.26,Tl^{2+},(aq),"[0,1,0,1,2]",1.88,,,,,V^{2+},(aq),"[0,1,0,1,2]",-2.26,VO,(s),"[0,1,1,1,0]",-1.64,,,,,,,,,,,,,,,,
3,Ag_2O_3,(s),"[0,2,3,1,0]",4.14,Ag_2O_3,(s),"[0,2,3,1,0]",1.684,Al^{3+},(aq),"[0,1,0,1,3]",-5.028,[Al(OH)_4]^-,(aq),"[4,1,4,1,-1]",-6.93,HAsO_2,(aq),"[1,1,2,1,0]",0.72,AsO_2^{-},(aq),"[0,1,2,1,-1]",-2.04,BiO^+,(aq),"[0,1,1,1,1]",0.951,Bi_2O_3,(s),"[0,2,3,1,0]",-1.38,,,,,,,,,,,,,,,,,HClO_2,(aq),"[1,1,2,2,0]",4.978,ClO_2^-,(aq),"[0,1,2,2,-1]",1.783,Co^{3+},(aq),"[0,1,0,1,3]",1.356,Co(OH)_3,(s),"[3,1,3,1,0]",-1.29,Cr^{3+},(aq),"[0,1,0,1,3]",-2.22,Cr(OH)_3,(s),"[3,1,3,1,0]",-3.90,Cu_2O_3,(s),"[0,2,3,1,0]",2.68,,,,,Fe^{3+},(aq),"[0,1,0,1,3]",-0.11,Fe(OH)_3,(s),"[3,1,3,1,0]",-2.334,,,,,,,,,,,,,,,,,In^{3+},(aq),"[0,1,0,1,3]",-1.016,In(OH)_3,(s),"[3,1,3,1,0]",3,Mn^{3+},(aq),"[0,1,0,1,3]",-0.85,Mn_2O_3,(s),"[0,2,3,1,0]",-3.37,Mo^{3+},(aq),"[0,1,0,1,3]",-0.6,,,,,HNO_2,(aq),"[1,1,2,2,0]",4.356,NO_2^-,(aq),"[0,1,2,2,-1]",1.27,,,,,,,,,,,,,,,,,H_3PO_3,(aq),"[3,1,3,1,0]",-1.506,HPO_3^{2-},(aq),"[1,1,3,1,-2]",-5.19,,,,,,,,,,,,,Re_2O_3,(s),"[0,2,3,1,0]",-0.99,,,,,,,,,SbO^{+},(aq),"[0,1,1,1,1]",0.636,[Sb(OH)_4]^{-},(aq),"[4,1,4,1,-1]",-1.917,,,,,,,,,,,,,,,,,,,,,,,,,Ti^{3+},(aq),"[0,1,0,1,3]",-3.63,Ti_2O_3,(s),"[0,2,3,1,0]",-6.21,Tl^{3+},(aq),"[0,1,0,1,3]",2.18,Tl(OH)_3,(s),"[3,1,3,1,0]",-0.44,V^{3+},(aq),"[0,1,0,1,3]",-2.515,V_2O_3,(s),"[0,2,3,1,0]",-2.126,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bi_2O_4,(s),"[0,2,4,1,0]",-0.82,,,,,,,,,CO_2,(g),"[0,1,2,1,0]",-0.466,CO_3^{2-},(aq),"[0,1,3,1,-2]",-4.18,ClO_2,(aq),"[0,1,2,2,0]",6.166,ClO_2,(aq),"[0,1,2,2,0]",2.854,CoO_2,(s),"[0,1,2,1,0]",2.772,CoO_2,(s),"[0,1,2,1,0]",-0.59,Cr^{4+},(aq),"[0,1,0,1,4]",-0.12,,,,,CuO^{2+},(aq),"[0,1,1,1,2]",4.28,,,,,FeO^{2+},(aq),"[0,1,1,1,2]",1.09,,,,,GeO_2,(s),"[0,1,2,1,0]",0.214,[GeO_2(OH)]^{-},(aq),"[1,1,3,1,-1]",-3.56,,,,,,,,,,,,,,,,,MnO_2,(s),"[0,1,2,1,0]",0.1,MnO_2,(s),"[0,1,2,1,0]",-3.22,MoO_2,(s),"[0,1,2,1,0]",-0.7,MoO_2,(s),"[0,1,2,1,0]",-3.92,N_2O_4,(g),"[0,2,4,2,0]",5.426,N_2O_4,(g),"[0,2,4,2,0]",2.137,NiO_2,(s),"[0,1,2,1,0]",2.666,NiO_2,(s),"[0,1,2,1,0]",-2.42,,,,,,,,,H_4P_2O_6,(aq),"[4,2,6,1,0]",-1.126,,,,,PdO_2,(s),"[0,1,2,1,0]",4.29,PdO_2,(s),"[0,1,2,1,0]",4.734,ReO_2,(s),"[0,1,2,1,0]",1.104,ReO_2,(s),"[0,1,2,1,0]",-2.24,H_2SO_3,(aq),"[2,1,3,1,0]",2,SO_3^{2-},(aq),"[0,1,3,1,-2]",-2.636,,,,,,,,,H_2SeO_3,(aq),"[2,1,3,1,0]",2.96,SeO_3^{2-},(aq),"[0,1,3,1,-2]",-1.44,SiO_2,(s),"[0,1,2,1,0]",-3.636,SiO_3^{2-},(aq),"[0,1,3,1,-2]",-6.76,(Te^{4+}),(aq),"[0,1,0,1,4]",2.28,TeO_3^{2-},(aq),"[0,1,3,1,-2]",-1.68,TiO_2,(s),"[0,1,2,1,0]",-3.53,TiO_2,(s),"[0,1,2,1,0]",-7.59,,,,,,,,,VO^{2+},(aq),"[0,1,1,1,2]",-2.178,HV_2O_5^{-},(aq),"[1,2,5,1,-1]",-1.584,WO_2,(s),"[0,1,2,1,0]",-0.476,WO_2,(s),"[0,1,2,1,0]",-3.928,,,,,,,,
5,,,,,,,,,,,,,,,,,H_3AsO_4,(aq),"[3,1,4,1,0]",1.792,AsO_4^{3-},(aq),"[0,1,4,1,-3]",-3.38,Bi_2O_5,(s),"[0,2,5,1,0]",4.151,Bi_2O_5,(s),"[0,2,5,1,0]",-0.04,BrO_3^{-},(aq),"[0,1,3,2,-1]",7.392,BrO_3^{-},(aq),"[0,1,3,2,-1]",2.423,,,,,,,,,ClO_3^-,(aq),"[0,1,3,2,-1]",7.34,ClO_3^-,(aq),"[0,1,3,2,-1]",2.373,,,,,,,,,Cr(O_2)_4^{3-},(aq),"[0,1,8,1,-3]",1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IO_3^{-},(aq),"[0,1,3,2,-1]",5.96,IO_3^{-},(aq),"[0,1,3,2,-1]",1.02,,,,,,,,,(H_3MnO_4),(aq),"[3,1,4,1,0]",3,MnO_4^{3-},(aq),"[0,1,4,1,-3]",-2.29,,,,,,,,,NO_3^-,(aq),"[0,1,3,2,-1]",6.229,NO_3^-,(aq),"[0,1,3,2,-1]",1.277,,,,,,,,,,,,,,,,,H_3PO_4,(aq),"[3,1,4,1,0]",-2.059,PO_4^{3-},(aq),"[0,1,4,1,-3]",-7.43,,,,,,,,,,,,,,,,,S_2O_6^{2-},(aq),"[0,2,6,1,-2]",2.569,,,,,Sb_2O_5,(s),"[0,2,5,1,0]",1.798,[Sb(OH)_6]^{-},(aq),"[6,1,6,1,-1]",-2.847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[V(OH)_4]^{+},(aq),"[4,1,4,1,1]",-1.178,VO_4^{3-},(aq),"[0,1,4,1,-3]",0.606,W_2O_5,(s),"[0,2,5,1,0]",-0.507,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cr_2O_7^{2-},(aq),"[0,2,7,1,-2]",1.92,CrO_4^{2-},(aq),"[0,1,4,1,-2]",-4.38,,,,,,,,,FeO_4^{2-},(aq),"[0,1,4,1,-2]",6.49,FeO_4^{2-},(aq),"[0,1,4,1,-2]",-0.174,,,,,,,,,,,,,,,,,,,,,,,,,HMnO_4^-,(aq),"[1,1,4,1,-1]",4.28,MnO_4^{2-},(aq),"[0,1,4,1,-2]",-2.02,MoO_3,(s),"[0,1,3,1,0]",0.592,MoO_4^{2-},(aq),"[0,1,4,1,-2]",-5.48,,,,,,,,,NiO_4^{2-},(aq),"[0,1,4,1,-2]",6.266,NiO_4^{2-},(aq),"[0,1,4,1,-2]",-1.62,,,,,,,,,,,,,,,,,,,,,,,,,ReO_3,(s),"[0,1,3,1,0]",1.904,,,,,HSO_4^-,(aq),"[1,1,4,1,-1]",2.316,SO_4^{2-},(aq),"[0,1,4,1,-2]",-4.508,,,,,,,,,SeO_4^{2-},(aq),"[0,1,4,1,-2]",5.26,SeO_4^{2-},(aq),"[0,1,4,1,-2]",-1.38,,,,,,,,,H_2TeO_4,(aq),"[2,1,4,1,0]",4.14,TeO_4^{2-},(aq),"[0,1,4,1,-2]",-1.54,,,,,,,,,,,,,,,,,,,,,,,,,WO_3,(s),"[0,1,3,1,0]",-0.536,WO_4^{2-},(aq),"[0,1,4,1,-2]",-6.446,XeO_3,(aq),"[0,1,3,1,0]",12.72,HXeO_4^{-},(aq),"[1,1,4,1,-1]",7.44
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrO_4^{-},(aq),"[0,1,4,2,-1]",11.098,BrO_4^{-},(aq),"[0,1,4,2,-1]",4.473,,,,,,,,,ClO_4^-,(aq),"[0,1,4,2,-1]",9.742,ClO_4^-,(aq),"[0,1,4,2,-1]",3.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H_5IO_6,(aq),"[5,1,6,2,0]",9.16,H_3IO_6^{2-},(aq),"[3,1,6,2,-2]",2.32,,,,,,,,,MnO_4^-,(aq),"[0,1,4,1,-1]",5.18,MnO_4^-,(aq),"[0,1,4,1,-1]",-1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ReO_4^{-},(aq),"[0,1,4,1,-1]",2.624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H_4XeO_6,(aq),"[4,1,6,1,0]",17.52,HXeO_6^{3-},(aq),"[1,1,6,1,-3]",9.42
